pair,x,y,z,offset,residue,data_number,baseline
S1E2,70.39594648814754,269.71111958531094,-2.8056463466965056,-62.73253155841098,[8.03182382e-10],5,278.76073784044047
S1E2,70.39558579313164,269.71551715644125,-2.795682994834948,-62.743221515605626,[1.60528902e-07],21,278.76480146806966
S1E2,70.39601023150703,269.71445607428313,-2.7978728774786674,-62.74067917844317,[2.74242251e-07],21,278.7639039843562
S1E2,70.39631581262915,269.71502027120346,-2.7970003872733002,-62.7415621662837,[1.19876116e-06],26,278.7645182785168
S1W2,-69.09092826013935,199.33594385221417,0.4656920366153088,8.249330718494264,[1.82956462e-07],24,210.97059451111608
S1W2,-69.09162261591051,199.33433266523662,0.4581440593830024,8.257180862154584,[1.00075744e-08],8,210.9692830503383
S1W2,-69.09019334077577,199.33639024835796,0.4695377880565843,8.245936066461638,[5.815486e-07],26,210.97078413573252
S1W2,-69.09146283255878,199.33438446565896,0.4637741883180837,8.251960751307386,[6.93678514e-07],44,210.9692919672049
S1W2,-69.086691977276,199.3482050189736,0.5003105758314916,8.212161734870193,[2.89271459e-08],9,210.98087155787852
S1W2,-69.08983439541454,199.33462815956938,0.4628428228712096,8.252286940177498,[1.83178491e-07],13,210.96898687669304
S1W2,-69.08988295316047,199.32882148025544,0.42657273993830813,8.288860763184971,[2.62969176e-05],24,210.96343987404885
S1W2,-69.09085370751332,199.33591305887595,0.46495880953222013,8.251544832024365,[1.07779481e-06],45,210.9705393834488
S1W2,-69.09125640077221,199.33583934563708,0.4626138055305944,8.253555643981372,[3.38114729e-12],5,210.97059645884295
S1W2,-69.08668379709225,199.3356796905953,0.47665384732675875,8.238043751811688,[6.98236842e-09],7,210.96897941328052
E2W2,-131.805694424978,-52.573621074978284,55.05178490993077,16.58839792278833,[],3,152.20849430158407
E2W2,-139.48301574619967,-70.3665776764127,3.2979984424422994,70.95341428646299,[2.70432016e-08],9,156.2620994651984
E2W2,-139.487509192727,-70.37960040844055,3.2624230442006557,70.99154214145763,[5.75545028e-07],38,156.2712282493556
E2W2,-139.48606351681633,-70.38551522722487,3.2279516539989004,71.02608220366236,[1.78111985e-05],18,156.27188595873469
S1E1,125.33268094146871,305.9327419663897,-5.907293156559092,-51.89517739058667,[],4,330.6630000944876
S1E1,125.33285837054602,305.9307013884902,-5.912510473136763,-51.89037855320046,[5.64384927e-06],31,330.6612726333095
S1E1,125.33339041138954,305.93380603328404,-5.908813322419348,-51.89414693348431,[5.69127372e-07],28,330.6642806547209
E1W2,-194.4201456585509,-106.60036886097728,6.379405798451032,60.13783864484966,[],4,221.8186838332828
E1W2,-194.38278374843807,-106.59006400338171,6.553111380592917,59.96169659659636,[4.47091553e-06],11,221.786049224931
E1W2,-194.42404147165269,-106.59858528948837,6.374964750179629,60.14351911770557,[3.94255212e-07],25,221.8211136557052
S1S2,-5.747514476509093,33.57876715345961,0.630142441097739,-4.461926515648138,[3.41122046e-07],66,34.072930688451386
E2W1,-245.3737831592272,-54.32267255653073,-6.265591998233262,31.46838765410796,[6.38237261e-10],8,251.39312611653452
E2W1,-245.4686827129598,-53.393580298466674,-7.990209391915929,33.394813224170306,[7.26782014e-09],24,251.33561636992718
E2W1,-245.27886820313685,-61.116436780679486,-14.383001716328796,43.37848581512932,[6.26142774e-10],8,253.18730767980944
E2W1,-245.46728621265316,-53.39474626105957,-7.997089802571608,33.40276036929116,[2.55417649e-07],34,251.3347189987844
E2W2,-139.43386152677485,-70.94139122910673,4.274117860240615,-3.0627069912755402,[3.80404078e-11],8,156.50160003422403
E2W2,-139.4874585610344,-70.37841810247302,3.2663199553352555,-1.9262068644802213,[9.38769635e-09],24,156.27073198930572
E2W2,-139.4763255182079,-70.39377079422619,3.350143256535574,-1.9987825951608187,[1.37287926e-10],12,156.26948456602284
E2W2,-139.33632630460022,-72.53232958871038,1.3683008793644689,0.9438120113946695,[2.15643955e-10],8,157.09049274518114
E2W2,-139.48603680569158,-70.37957443947207,3.2615294135505266,-1.9206106329269446,[1.24943e-07],34,156.26988365054666
W1W2,105.93992163244084,-16.618718672453234,10.53970985825147,-34.53109464513067,[3.85703964e-10],8,107.75218925710037
W1W2,105.9812241519254,-16.984837804006364,11.256529347251153,-35.321020088650485,[3.46670907e-09],24,107.92225924671234
W1W2,105.99226064163655,-7.288916399131407,17.909777994345195,-40.20964983391133,[1.64708125e-08],12,107.74157863148689
